medical_specialty_id,specialty_name,specialty_description
1250,Chemical Pathology,
1251,Sleep Medicine,
1252,Pediatric ENT (Otolaryngology),
1253,Clinical Neurophysiology,
1254,Public Health,
1255,Hospice Care and Palliative Medicine,
1256,Pediatric Endocrinology,
1257,Forensic Psychiatry,
1258,Gynecologic Oncology,
1259,Clinical Cardiac Electrophysiology,
1260,Neuromusculoskeletal Medicine and Osteo Manipulative Medicine,
1261,Pediatric Hematology and Oncology,
1262,Preventive Medicine,
1263,Pediatric Infectious Disease Medicine,
1264,Spinal Cord Injury Medicine,
1265,Clinical Genetics,
1266,Transplant Hepatology,
1267,Pediatric Developmental Behavioral Health,
1268,Pediatric Pathology,
1269,Molecular Genetic Pathology,
1270,Clinical Molecular Genetics,
1271,Urological Surgery,
1272,Clinical Biochemical Genetics,
1273,Pediatric Allergy and Immunology,
1274,Bariatric Surgery (Weight Loss Surgeon),
1275,Neurodevelopment Disabilities,
1276,Medical Toxicology,
1278,Pediatric Rheumatology,
1279,Neuropathology,
1280,Pediatric Nephrology,
1281,Pediatric Dermatology,
1282,Undersea and Hyperbaric Medicine,
1283,Radiological Physics,
1284,Radioisotopic Pathology,
1286,Otology and Neurotology,
1287,Pediatric Sports Medicine,
1288,Medical Microbiology,
1289,Clinical and Laboratory Immunology,
1290,Bariatric Medicine,
1291,Pediatric Medical Toxicology,
1292,Clinical Cytogenetics,
1293,Proctology,
1294,Oral and Maxillofacial Surgery,
1295,Dentistry,
1296,Clinical Lipidology,
1297,Pediatric Neurosurgery,
1298,Hematopathology,
1300,Hospitalist,
1301,Pediatric Orthopedics,
1302,Spine Surgery,
1303,Podiatry,
1304,Complementary and Integrative Medicine,
1305,Endocrinology and Metabolism,
1306,Urogynecology,
1308,Transplant Surgery,
1309,Pediatric Stereotactic Radiosurgery (Gamma Knife),
1310,Stereotactic Radiosurgery (Gamma Knife),
1311,Ophthalmology - Low Vision Rehabilitation,
1313,Pediatric Laparoscopic Surgery,
1314,Medical Genetics,
1317,Electrophysiology,
1320,Immunology,
1321,Orthopedic Medicine,
1323,Pediatric Ophthalmology,
1324,Cardiovascular Surgery,
1325,Urologic Oncology,
1328,Pediatric Child Abuse & Neglect,
1329,Pediatric Gynecology,
1331,Neurodevelopmental Disabilities,
1332,Pediatric Thoracic Surgery,
1335,Pediatric Cardiovascular Surgery,
1336,Neurophysiology,
1338,Pediatric Urology,
1343,Pediatric Rehabilitation Medicine,
1362,Perinatology,
1363,Osteopathic Physician,
1364,Endovascular,
1365,Pediatric Allergy & Immunology,
1366,Hepatology,
1367,Addiction Medicine,
1368,Orthopedic Hand Surgery,
1369,Neuro-oncology,
1370,Nuclear Cardiology,
1371,Oncology Surgery,
1372,Head and Neck Surgery,
1373,Breast Radiology,
1374,Wound Care,
1375,Pediatric Infectious Disease,
1376,Pediatric ENT,
1377,Breast Surgery,
1378,Non-Invasive,
1379,Endourology,
1380,Knee,
1381,Peripheral Cardiology,
1382,Neuro-Rehabilitation,
1383,Trauma,
1385,ALIM,
1386,Echocardiography,
1387,PD,
1389,Neuromuscular Medicine,
1390,Podiatric Surgery,
1391,Allergy,
1392,Burn Surgery,
1393,Peripheral Vascular Surgery,
1395,Hyperbaric Medicine,
1396,Gynecology Surgery,
1397,Urology Oncology,
1398,Joint Replacement Surgery,
1399,Cosmetic Surgery,
1400,Endoscopy,
1401,Electrodiagnosis,
1402,Stroke,
1403,General Medicine,
1404,Hair Transplant,
1405,Movement Disorders,
1406,Epilepsy,
1407,Neurointerventional Radiology,
1408,"Plastic Surgery ,Reconstructive",
1409,Electroencephalography,
1410,Electromyography,
1411,Dentistry - Pediatric,
1412,Clinical Psychology,
1413,Physical Medicine and Rehabilitation,
1414,Cardiovascular Surgery,
1415,Urgent Care Medicine,
1416,Physical Medicine and Rehabilitation (physiatry),
1417,Medical Genetics,
1418,Cosmetic Surgery,
1420,Child Psychiatry,
1421,Adolescent Psychiatry,
1423,Musculoskeletal Medicine,
1425,Gynecology Oncology,
1426,Hospice and Palliative Medicine,
1445,Otology/Neurotology,
1446,Pediatric/Adolescent Psychiatry,
1447,Microsurgery,
1448,Hypertension,
1450,Bariatric Surgery,
1451,Bariatric Medicine,
1452,Cerebrovascular Surgery,
1453,Skull Surgery,
1455,Pediatric Child Abuse,
1456,Maternal-Fetal Medicine,
1457,Neuro-opthalmology,
1458,Vascular Interventional,
1459,Foot and Ankle Surgery,
1460,Mohs Surgery,
1461,Pediatric Orthopedic Surgery,
1462,Sports Medicine Surgery,
1463,Orthopedic Trauma Surgery,
1464,Pediatric Specialties,
1465,Surgical Specialties,
1466,Echocardiolography,
1468,Complementary/Integrative Medicine,
1469,ENT (Otolarynology),
1470,"Diabetes, Endocrinology, and Metabolism",
1471,Otology/Neurotology,
1472,Pediatric ENT (Otolarynology),
1473,Hospice Care and Palliative Medicine,
1476,Vascular Interventional,
1477,Neuro-opthalmology,
1478,Hypertension,
1479,Maternal-Fetal Medicine,
1480,Nutrition,
1481,Maternal & Fetal Medicine,
1482,HIV and AIDS Specialist,
1485,Nutrition,
1488,Total Joint Replacement,
1489,Psychology,
1492,Robotic Surgery,
1493,Concierge Medicine,
1494,Endodontics,
1495,Hepatology,
1496,Orthodontics,
1497,Orthopedic Hand Surgery,
1498,Pediatric Anesthesiology,
1499,Pediatric Cardiothoracic Surgery,
1500,Pediatric Medical Genetics,
1501,Pediatric Ophthalmology,
1502,Pediatric Plastic Surgery,
1503,Pediatric Thoracic Surgery,
1504,Pediatric Urology,
1505,Periodontics,
1506,Prosthodontics,
1507,Surgical Oncology,
1510,Telemedicine Dermatology,
