_id,chief_complaint_id,diagnosis_id,most_common,common_peds,life_or_limb_threatening
687,40,332,,,0
688,40,339,1,1,
689,40,344,1,1,1
690,40,395,,,1
691,40,593,1,,0
692,40,672,1,1,
693,40,710,1,1,1
694,40,735,,,1
695,40,736,1,1,1
696,40,816,,,0
701,41,128,,,1
704,41,153,,,0
705,41,173,1,,0
707,41,319,,,1
708,41,329,1,1,1
713,41,462,,1,1
714,41,469,1,1,0
715,41,536,1,1,0
720,41,748,,,1
721,41,790,1,1,0
725,42,581,1,,0
726,42,8,1,,0
727,42,302,1,1,0
728,42,747,1,0,0
729,43,29,,,1
730,43,205,1,1,1
731,43,247,1,1,1
732,43,331,1,1,0
733,43,334,1,1,0
734,43,335,1,1,
735,43,336,,1,
736,43,337,,,1
737,43,448,,,1
738,43,661,,,1
739,44,33,,,1
740,44,146,1,,1
741,44,174,,1,1
742,44,175,,,1
743,44,234,,,1
744,44,266,1,,0
745,44,365,1,,1
746,44,367,1,,0
748,44,573,,,1
750,44,650,,,0
751,44,651,,,0
752,44,653,1,1,0
753,44,693,,,0
754,44,810,,,0
755,44,835,1,,0
756,45,61,1,,0
757,45,62,1,1,0
758,45,63,,1,0
759,45,121,1,,0
760,45,140,,1,0
761,45,191,1,1,0
762,45,220,1,,0
763,45,321,,,0
764,45,349,,1,0
765,45,350,,,0
766,45,356,1,,1
767,45,420,,1,0
768,45,533,,,0
769,45,678,1,,0
770,45,690,1,1,1
771,45,711,,1,0
772,45,729,1,1,0
773,46,26,1,1,1
774,46,37,,1,1
776,46,190,,,
777,46,278,,,0
778,46,742,,1,0
779,47,28,,1,0
780,47,115,1,1,
781,47,126,,,0
783,47,298,1,1,1
784,47,309,,,0
785,47,384,,1,0
786,47,413,1,1,0
787,47,542,1,,0
788,47,594,1,1,0
789,47,716,1,,0
791,47,824,,,0
792,47,825,,,0
793,48,20,1,,0
794,48,46,,,0
795,48,146,,,1
796,48,226,,,1
797,48,246,1,1,1
798,48,377,1,,0
801,49,134,,,1
802,49,145,,1,0
803,49,146,,,1
804,49,201,1,,0
805,49,282,,1,0
807,49,483,1,,0
808,49,514,1,,0
809,49,599,1,,
813,49,734,1,,
814,49,793,1,1,0
816,50,43,1,1,0
817,50,47,1,1,
818,50,86,1,1,0
820,50,475,1,1,
821,50,681,,,1
822,50,719,1,1,0
823,50,796,1,1,0
826,51,33,1,,1
828,51,93,,,0
829,51,122,1,,0
830,51,212,1,1,1
831,51,402,1,,
832,51,501,,,0
835,51,658,1,,0
836,52,26,1,1,1
837,52,66,1,1,0
839,52,189,1,1,0
840,52,200,,,0
841,52,351,,,0
845,52,653,0,0,0
846,52,698,1,,0
847,52,741,,1,0
848,52,763,1,1,0
849,52,796,1,1,0
850,53,121,1,,0
851,53,302,1,1,0
852,53,321,1,,0
853,53,441,0,0,0
854,53,532,1,,0
855,53,534,,,1
857,53,662,1,0,0
858,53,689,,1,1
859,53,751,1,1,0
860,54,406,,,0
861,54,513,1,,0
862,54,589,,,0
863,54,637,1,1,1
864,54,654,,,1
865,54,655,,,1
866,54,656,,,1
867,55,61,1,,0
868,55,62,,1,0
869,55,121,1,1,0
870,55,140,1,1,0
871,55,191,1,1,0
872,55,220,,1,0
873,55,302,,,0
874,55,321,,,0
875,55,427,1,,0
876,55,463,1,,0
877,55,532,1,,0
878,55,533,,,0
879,55,554,1,1,
880,55,555,,,
881,55,613,,,0
882,55,678,,,0
883,55,691,,1,1
884,55,729,1,1,0
885,56,40,1,1,0
886,56,57,1,1,0
887,56,232,,,0
888,56,271,,,0
889,56,273,1,1,0
890,56,293,1,1,0
891,56,296,1,1,0
892,56,325,1,1,0
893,56,407,,,0
894,56,418,1,1,
895,56,429,1,1,0
896,56,478,1,1,0
897,56,672,1,1,
898,56,708,1,1,
899,56,764,,,0
901,57,140,1,1,0
902,57,183,,,1
903,57,191,1,1,0
904,57,204,1,,1
905,57,302,,1,0
906,57,321,,,0
907,57,350,,,0
909,57,532,1,,0
911,57,565,1,,0
914,57,678,1,,0
915,57,689,,,1
917,57,729,1,1,0
919,57,810,,,0
920,58,126,,,0
921,58,140,1,1,0
922,58,191,1,1,0
923,58,204,1,,1
924,58,302,1,1,0
925,58,321,,,0
926,58,427,1,,0
927,58,532,1,,0
929,58,613,,,0
931,58,689,,,1
932,58,724,1,1,0
933,58,729,1,1,0
934,58,810,,,0
935,59,21,1,,1
936,59,39,1,1,0
937,59,45,,,0
938,59,71,,,0
939,59,126,,,0
940,59,168,,,
941,59,169,,,0
942,59,171,,,0
943,59,185,,,1
944,59,205,1,1,1
945,59,212,1,,1
946,59,213,1,,0
947,59,225,1,,1
948,59,383,1,1,1
950,59,451,,1,0
951,59,462,1,1,1
952,59,501,,,0
954,59,652,1,,1
955,59,653,,,0
956,60,7,,1,1
957,60,163,1,,1
958,60,165,1,,
959,60,172,1,,1
960,60,347,1,1,0
961,60,679,,,1
962,60,433,,,0
964,61,85,,,0
965,61,119,,,
966,61,211,1,,
967,61,318,1,,0
968,61,327,1,1,0
969,61,352,,,0
970,61,525,,,0
971,61,526,1,1,
973,61,649,,,0
974,61,770,1,1,
975,61,777,1,1,1
976,62,71,0,0,0
977,62,280,1,1,0
978,62,291,1,,0
979,62,387,1,1,0
980,62,494,0,1,0
981,62,495,0,1,1
982,62,510,0,0,1
983,62,542,1,1,0
984,62,661,1,1,1
985,62,773,,,1
986,62,780,,,0
987,63,497,1,1,0
988,63,498,1,1,0
989,63,499,1,1,0
990,63,500,1,1,0
991,64,60,,1,0
992,64,97,1,1,0
993,64,228,1,1,0
994,64,329,0,0,1
995,64,348,0,0,0
997,64,507,1,1,
998,64,454,,,0
1000,64,504,0,0,0
1001,64,663,,,0
1002,64,688,1,0,0
1003,64,758,0,0,1
1004,64,832,0,0,0
1005,64,830,1,0,0
1006,65,184,,,0
1007,65,253,1,1,0
1008,65,505,1,1,0
1009,65,560,,,0
1010,65,602,,,0
1011,66,31,1,,1
1013,66,128,,,1
1017,66,184,1,1,0
1018,66,215,1,1,1
1019,66,307,1,1,0
1020,66,308,1,1,0
1024,66,409,1,1,
1028,66,469,1,1,0
1029,66,492,,,1
1031,66,549,,1,
1036,67,131,,,1
1038,67,219,,,1
1040,67,350,1,0,0
1043,67,760,0,0,0
1044,67,771,1,1,0
1045,67,812,,,1
1046,67,834,1,1,0
1047,68,118,,1,1
1048,68,140,1,1,0
1049,68,150,1,1,0
1050,68,320,1,,0
1051,68,431,1,1,0
1054,68,759,,1,
1055,69,128,,,1
1056,69,133,1,,0
1057,69,146,1,,1
1058,69,183,,1,1
1059,69,322,,,1
1060,69,369,1,1,
1061,69,428,,,1
1062,69,442,0,1,1
1063,69,483,1,0,0
1064,69,565,1,,0
1065,69,757,0,0,0
1066,69,776,,1,1
1067,69,778,1,1,1
1068,69,833,0,1,1
1069,70,199,,1,0
1070,70,377,1,,0
1071,70,590,,,0
1073,70,727,1,1,
1074,71,6,1,1,1
1075,71,34,1,,1
1076,71,49,,,1
1077,71,64,1,1,1
1078,71,84,,,1
1079,71,91,1,,1
1080,71,123,,,1
1081,71,176,1,,1
1082,71,196,,1,1
1083,71,223,,,1
1084,71,217,,1,1
1085,71,379,1,1,1
1086,71,391,,,1
1087,71,503,1,,1
1089,71,829,,,1
1092,72,96,,,0
1093,72,201,,,0
1094,72,392,,,0
1095,72,511,1,,0
1099,72,792,1,1,0
1100,72,793,1,1,0
1102,73,50,1,1,0
1103,73,129,1,1,1
1105,73,383,,1,1
1106,73,492,1,,1
1107,73,541,,1,1
1108,74,77,,,
1109,74,236,,,1
1110,74,241,1,,0
1111,74,290,1,,0
1112,74,353,1,,0
1113,74,392,1,,0
1114,74,401,,1,0
1115,74,472,1,1,
1116,74,539,1,1,0
1117,74,540,,1,1
1118,74,557,1,1,0
1119,74,607,1,,
1120,74,685,,,
1121,74,784,,,0
1122,75,160,1,1,0
1123,75,511,1,1,0
1124,75,351,1,1,0
1125,75,490,,,0
1126,75,696,1,1,0
1127,75,781,,,0
1128,75,791,,,0
1129,76,313,1,1,0
1130,76,79,,1,
1131,76,558,,,0
1132,76,603,1,1,0
1133,77,6,1,1,1
1134,77,34,1,,1
1135,77,49,,,1
1136,77,64,1,1,1
1137,77,84,,,1
1138,77,91,1,,1
1139,77,123,,,1
1140,77,128,1,1,1
1141,77,161,,,1
1142,77,176,1,,1
1143,77,223,,,1
1144,77,217,,1,1
1145,77,379,1,1,1
1146,77,400,,,1
1147,77,391,,,1
1148,77,669,,,0
1149,77,416,,,1
1150,77,503,1,,1
1152,77,570,,,1
1153,77,640,,,1
1154,77,829,,,1
1156,78,15,,,0
1157,78,236,1,,1
1158,78,277,,,0
1159,78,315,1,,
1160,78,316,1,,0
1161,78,473,,,0
1162,78,342,1,,1
1163,78,362,1,,
1164,78,396,,,0
1165,78,482,1,,
1166,78,772,,,1
1167,79,19,,1,0
1168,79,46,1,1,0
1169,79,51,1,1,0
1170,79,93,1,,0
1171,79,101,,,0
1172,79,117,1,1,0
1174,79,225,1,1,1
1175,79,303,,,0
1176,79,369,1,1,
1177,79,398,,,
1178,79,485,,,0
1179,79,486,,1,0
1180,79,520,,,0
1181,79,548,1,,
1182,79,569,1,,0
1185,79,605,1,0,0
1187,79,615,,,0
1188,79,676,1,,0
1189,79,677,1,,1
1190,79,683,,,0
1191,79,686,1,1,1
1192,79,739,1,1,1
1193,80,622,,,
1194,80,623,,,
1195,80,624,,,
1196,80,625,,,
1197,80,626,,,
1198,80,627,1,1,
1199,80,628,1,1,
1200,80,629,1,1,
1201,80,630,,,
1202,80,631,,,
1203,80,632,,,
1204,80,633,,,
1205,80,634,,,
1206,80,635,1,1,
1207,80,636,1,1,
1208,81,26,1,1,1
1210,81,127,1,1,0
1212,81,188,1,1,0
1213,81,227,1,1,
1219,81,441,,,0
1223,81,577,1,,0
1229,81,796,1,1,0
1230,81,823,,,0
1232,82,74,1,1,1
1233,82,160,,,0
1234,82,197,1,,1
1235,82,245,,,1
1236,82,298,,,1
1237,82,343,1,,0
1238,82,351,,,0
1239,82,511,,,0
1241,82,643,1,,0
1242,82,644,,,1
1243,82,645,1,1,0
1244,82,646,,,0
1245,82,647,,,0
1246,82,788,1,,0
1247,83,298,,,1
1248,83,343,1,,0
1249,83,643,1,1,0
1250,83,644,,,1
1251,83,645,,1,0
1252,83,646,1,,0
1253,84,16,1,1,0
1254,84,27,1,1,0
1255,84,181,1,1,0
1256,84,329,0,0,1
1257,84,506,,1,0
1258,84,664,1,1,0
1260,84,710,0,0,1
1261,84,790,1,1,0
1262,84,832,0,0,0
1263,85,249,1,,0
1264,85,361,1,,0
1265,85,388,1,1,0
1266,85,513,1,,0
1267,85,484,,1,1
1268,85,530,,1,0
1269,85,682,,,0
1270,85,754,,,0
1271,85,755,1,1,1
1272,85,807,,,0
1273,86,248,,,0
1274,86,249,1,,0
1275,86,338,1,,0
1276,86,361,1,1,0
1277,86,388,1,1,0
1278,86,484,,1,1
1279,86,530,,1,0
1280,86,682,,,0
1281,86,718,1,,
1282,86,754,,,0
1283,86,755,1,1,1
1284,86,807,,,0
1285,87,23,1,,1
1286,87,107,,,1
1287,87,128,,,1
1288,87,146,,,1
1289,87,184,1,1,0
1290,87,227,1,1,
1291,87,239,,,1
1292,87,251,,,1
1294,87,281,1,1,0
1295,87,371,,,0
1296,87,372,1,1,1
1297,87,375,1,,1
1298,87,441,,,0
1300,87,462,,1,1
1301,87,483,,,0
1302,87,541,1,1,1
1303,87,587,1,1,1
1304,87,653,,,0
1305,87,657,,,1
1306,87,702,,1,0
1307,87,736,,,1
1308,87,833,,,1
1311,88,65,1,1,0
1312,88,69,1,1,1
1313,88,113,,,1
1314,88,114,0,1,0
1315,88,170,1,,0
1316,88,185,1,,1
1317,88,279,,,0
1319,88,492,1,,1
1320,88,583,1,,1
1321,88,585,1,1,1
1322,88,586,,,1
1323,88,616,1,,1
1325,88,618,,,0
1327,88,715,,,1
1329,89,121,1,0,0
1330,89,165,0,0,
1332,89,236,,,1
1333,89,360,0,1,0
1334,89,382,1,,0
1335,89,492,,,1
1336,89,544,,,0
1337,89,667,1,,
1338,89,700,0,0,1
1339,90,28,1,1,0
1340,90,506,1,1,0
1341,90,137,,,0
1342,90,135,,,1
1343,90,132,,,0
1344,90,704,1,1,0
1345,90,725,,,0
1346,91,4,1,1,0
1347,91,72,1,1,0
1348,91,120,1,1,1
1349,91,191,1,1,0
1350,91,410,1,1,0
1351,92,237,,,1
1352,92,820,1,1,1
1353,92,515,1,1,
1356,93,218,,,1
1360,93,572,1,1,
1362,93,674,1,1,
1363,93,731,1,1,
1365,93,768,1,1,0
1367,93,790,1,1,0
1368,94,103,,,1
1369,94,107,1,1,1
1370,94,144,,1,1
1371,94,146,1,,1
1372,94,239,,1,1
1373,94,251,,1,1
1374,94,322,,,1
1375,94,413,1,1,0
1376,94,462,,1,1
1377,94,483,,,0
1378,94,488,,,1
1379,94,531,0,0,0
1382,94,775,1,,1
1383,95,94,,,1
1384,95,182,1,1,0
1385,95,116,1,1,
1386,95,746,,,0
1388,96,10,,,
1390,96,90,1,,0
1391,96,175,1,1,1
1393,96,235,,1,1
1394,96,389,,,0
1395,96,452,1,1,0
1397,96,502,1,,0
1399,96,601,1,,
1401,97,212,1,1,1
1402,97,677,1,,1
1403,97,21,1,1,1
1404,97,225,1,1,1
1405,98,80,1,,0
1406,98,103,,,1
1407,98,127,,,0
1408,98,146,1,,1
1409,98,216,1,,
1410,98,218,,,1
1411,98,252,,1,1
1412,98,257,,,0
1413,98,258,,1,0
1414,98,259,1,1,0
1415,98,262,1,,0
1416,98,264,1,1,0
1417,98,265,1,,
1418,98,309,1,1,0
1419,98,320,1,,0
1420,98,412,,,0
1421,98,458,,,1
1422,98,488,,,1
1424,98,568,,1,1
1425,98,572,1,1,
1426,98,660,,1,1
1427,98,744,,,0
1428,98,766,,,0
1429,98,767,,,0
1431,99,2,,,0
1432,99,41,1,1,0
1433,99,58,,,0
1434,99,233,,,0
1435,99,272,1,1,0
1436,99,275,1,1,
1437,99,295,1,1,
1438,99,297,1,1,
1439,99,326,1,1,0
1440,99,408,,,
1441,99,419,1,,
1442,99,430,1,1,
1443,99,479,,,0
1444,99,673,,,0
1445,99,709,,1,0
1446,99,765,,1,0
1447,100,61,1,,0
1448,100,124,1,,0
1449,100,140,,,0
1450,100,191,1,1,0
1451,100,220,1,1,0
1453,100,321,,,0
1454,100,323,1,,0
1455,100,324,1,,0
1456,100,410,,1,0
1457,100,552,1,1,0
1458,100,565,,,0
1460,100,738,,1,
1461,100,751,,,0
1462,100,752,,,0
1463,100,765,,,0
1464,101,138,1,1,0
1465,101,209,1,1,0
1466,101,229,1,1,0
1468,101,562,1,1,0
1469,101,620,1,1,
1470,102,3,1,1,1
1471,102,73,1,1,0
1472,102,158,,,1
1473,102,269,1,1,0
1474,102,270,1,1,
1475,102,274,1,1,1
1476,102,330,1,1,1
1477,102,480,1,1,1
1478,102,509,1,1,1
1479,103,125,1,1,1
1480,103,198,,,1
1481,103,231,1,1,1
1482,103,317,,1,0
1484,103,668,,1,
1486,103,697,1,1,1
1487,104,31,,,1
1488,104,82,,,0
1489,104,107,1,1,1
1490,104,145,1,1,0
1491,104,146,1,,1
1492,104,239,,1,1
1493,104,251,,1,1
1494,104,350,,,0
1495,104,462,,1,1
1496,104,483,1,,0
1497,104,551,1,,0
1498,104,638,,,0
1499,104,736,,1,1
1500,104,761,,1,1
1501,104,775,1,,1
1503,105,230,1,,0
1504,105,267,1,,0
1505,105,539,,,0
1506,105,802,,,0
1507,105,803,1,1,0
1508,106,149,1,,0
1509,106,240,,,0
1511,106,538,,,0
1512,106,797,,,0
1513,106,801,1,,0
1514,106,827,,,0
1515,107,236,1,,1
1516,107,470,1,,
1517,107,473,,,0
1518,107,578,1,,1
1519,107,579,,,1
1520,107,798,,,1
1521,108,77,1,1,
1522,108,127,1,1,0
1523,108,154,1,,0
1524,108,160,1,1,0
1525,108,242,1,,0
1526,108,305,1,1,0
1527,108,511,1,1,0
1528,108,557,1,1,0
1530,108,781,1,1,0
1531,108,803,,1,0
1532,108,817,,,0
1533,109,77,1,1,
1535,109,464,,,0
1537,110,77,1,1,
1538,110,81,1,1,0
1539,110,160,1,1,0
1540,110,313,1,1,0
1542,110,425,,,0
1543,110,464,1,,0
1544,110,706,,,0
1545,110,777,0,0,1
1546,110,805,1,1,0
1548,111,21,1,1,1
1549,111,82,,,0
1550,111,88,1,1,0
1551,111,129,1,1,1
1552,111,184,1,1,0
1553,111,536,1,1,0
1554,111,434,,1,1
1555,111,461,1,,0
1556,111,469,,1,0
1557,111,476,1,1,0
1558,111,537,,,
1559,111,535,1,0,0
1560,111,812,,,1
1561,111,814,,,1
1562,111,815,0,0,1
1563,111,818,1,1,0
1564,112,14,,,1
1565,112,107,,,1
1567,112,144,,,1
1568,112,146,1,0,1
1569,112,186,0,0,0
1570,112,192,1,1,0
1571,112,193,1,1,0
1572,112,213,1,1,0
1573,112,319,0,0,1
1575,112,468,0,0,1
1576,112,469,1,1,0
1577,112,483,0,0,0
1579,112,524,0,0,1
1580,112,527,0,1,1
1581,112,528,,,1
1582,112,529,0,1,1
1583,112,576,0,0,0
1584,112,638,0,0,0
1585,112,641,,,1
1587,112,748,,,1
1588,112,756,0,0,1
1589,112,775,1,0,1
1590,112,799,1,1,0
