_id,content_reviewable_id,content_reviewable_type,content_field,content_reviewer_id
96,32,Procedure,common_complications,1
97,33,Procedure,name,1
98,33,Procedure,description,1
99,33,Procedure,common_complications,1
100,34,Procedure,name,1
101,34,Procedure,description,1
102,34,Procedure,common_complications,1
103,35,Procedure,name,1
104,35,Procedure,description,1
105,35,Procedure,common_complications,1
106,36,Procedure,name,1
107,36,Procedure,description,1
108,36,Procedure,common_complications,1
109,37,Procedure,name,1
110,37,Procedure,description,1
111,37,Procedure,common_complications,1
112,38,Procedure,name,1
113,38,Procedure,description,1
114,38,Procedure,common_complications,1
115,39,Procedure,name,1
116,39,Procedure,description,1
117,39,Procedure,common_complications,1
118,40,Procedure,name,1
119,40,Procedure,description,1
120,40,Procedure,common_complications,1
121,41,Procedure,name,1
122,41,Procedure,description,1
123,41,Procedure,common_complications,1
124,42,Procedure,name,1
125,42,Procedure,description,1
126,42,Procedure,common_complications,1
127,43,Procedure,name,1
128,43,Procedure,description,1
129,43,Procedure,common_complications,1
130,44,Procedure,name,1
131,44,Procedure,description,1
132,44,Procedure,common_complications,1
133,45,Procedure,name,1
134,45,Procedure,description,1
135,45,Procedure,common_complications,1
136,46,Procedure,name,1
137,46,Procedure,description,1
138,46,Procedure,common_complications,1
139,47,Procedure,name,1
140,47,Procedure,description,1
141,47,Procedure,common_complications,1
142,48,Procedure,name,1
143,48,Procedure,description,1
144,48,Procedure,common_complications,1
145,49,Procedure,name,1
146,49,Procedure,description,1
147,49,Procedure,common_complications,1
148,50,Procedure,name,1
149,50,Procedure,description,1
150,50,Procedure,common_complications,1
151,51,Procedure,name,1
152,51,Procedure,description,1
153,51,Procedure,common_complications,1
154,52,Procedure,name,1
155,52,Procedure,description,1
156,52,Procedure,common_complications,1
157,53,Procedure,name,1
158,53,Procedure,description,1
159,53,Procedure,common_complications,1
160,54,Procedure,name,1
161,54,Procedure,description,1
162,54,Procedure,common_complications,1
163,55,Procedure,name,1
164,55,Procedure,description,1
165,55,Procedure,common_complications,1
166,56,Procedure,name,1
167,56,Procedure,description,1
168,56,Procedure,common_complications,1
169,57,Procedure,name,1
170,57,Procedure,description,1
171,57,Procedure,common_complications,1
172,58,Procedure,name,1
173,58,Procedure,description,1
174,58,Procedure,common_complications,1
175,59,Procedure,name,1
176,59,Procedure,description,1
177,59,Procedure,common_complications,1
178,60,Procedure,name,1
179,60,Procedure,description,1
180,60,Procedure,common_complications,1
184,62,Procedure,name,1
185,62,Procedure,description,1
186,62,Procedure,common_complications,1
187,63,Procedure,name,1
188,63,Procedure,description,1
189,63,Procedure,common_complications,1
193,65,Procedure,name,1
194,65,Procedure,description,1
195,65,Procedure,common_complications,1
196,66,Procedure,name,1
197,66,Procedure,description,1
198,66,Procedure,common_complications,1
199,67,Procedure,name,1
200,67,Procedure,description,1
201,67,Procedure,common_complications,1
202,68,Procedure,name,1
203,68,Procedure,description,1
204,68,Procedure,common_complications,1
205,69,Procedure,name,1
206,69,Procedure,description,1
207,69,Procedure,common_complications,1
208,70,Procedure,name,1
209,70,Procedure,description,1
210,70,Procedure,common_complications,1
211,71,Procedure,name,1
212,71,Procedure,description,1
213,71,Procedure,common_complications,1
214,72,Procedure,name,1
215,72,Procedure,description,1
216,72,Procedure,common_complications,1
217,73,Procedure,name,1
218,73,Procedure,description,1
219,73,Procedure,common_complications,1
220,74,Procedure,name,1
221,74,Procedure,description,1
222,74,Procedure,common_complications,1
223,75,Procedure,name,1
224,75,Procedure,description,1
225,75,Procedure,common_complications,1
226,76,Procedure,name,1
227,76,Procedure,description,1
228,76,Procedure,common_complications,1
229,77,Procedure,name,1
230,77,Procedure,description,1
231,77,Procedure,common_complications,1
232,79,Procedure,name,1
233,79,Procedure,description,1
234,79,Procedure,common_complications,1
235,80,Procedure,name,1
236,80,Procedure,description,1
237,80,Procedure,common_complications,1
238,81,Procedure,name,1
239,81,Procedure,description,1
240,81,Procedure,common_complications,1
241,82,Procedure,name,1
242,82,Procedure,description,1
243,82,Procedure,common_complications,1
244,83,Procedure,name,1
245,83,Procedure,description,1
246,83,Procedure,common_complications,1
247,84,Procedure,name,1
248,84,Procedure,description,1
249,84,Procedure,common_complications,1
250,85,Procedure,name,1
251,85,Procedure,description,1
252,85,Procedure,common_complications,1
253,86,Procedure,name,1
254,86,Procedure,description,1
255,86,Procedure,common_complications,1
256,87,Procedure,name,1
257,87,Procedure,description,1
258,87,Procedure,common_complications,1
259,88,Procedure,name,1
260,88,Procedure,description,1
261,88,Procedure,common_complications,1
262,90,Procedure,name,1
263,90,Procedure,description,1
264,90,Procedure,common_complications,1
265,91,Procedure,name,1
266,91,Procedure,description,1
267,91,Procedure,common_complications,1
268,92,Procedure,name,1
269,92,Procedure,description,1
270,92,Procedure,common_complications,1
271,93,Procedure,name,1
272,93,Procedure,description,1
273,93,Procedure,common_complications,1
274,94,Procedure,name,1
275,94,Procedure,description,1
276,94,Procedure,common_complications,1
277,95,Procedure,name,1
278,95,Procedure,description,1
279,95,Procedure,common_complications,1
280,96,Procedure,name,1
281,96,Procedure,description,1
282,96,Procedure,common_complications,1
283,97,Procedure,name,1
284,97,Procedure,description,1
285,97,Procedure,common_complications,1
286,98,Procedure,name,1
287,98,Procedure,description,1
288,98,Procedure,common_complications,1
289,99,Procedure,name,1
290,99,Procedure,description,1
291,99,Procedure,common_complications,1
292,100,Procedure,name,1
293,100,Procedure,description,1
294,100,Procedure,common_complications,1
295,101,Procedure,name,1
296,101,Procedure,description,1
297,101,Procedure,common_complications,1
298,102,Procedure,name,1
299,102,Procedure,description,1
300,102,Procedure,common_complications,1
301,103,Procedure,name,1
302,103,Procedure,description,1
303,103,Procedure,common_complications,1
304,104,Procedure,name,1
305,104,Procedure,description,1
306,104,Procedure,common_complications,1
307,105,Procedure,name,1
308,105,Procedure,description,1
309,105,Procedure,common_complications,1
310,106,Procedure,name,1
311,106,Procedure,description,1
312,106,Procedure,common_complications,1
313,107,Procedure,name,1
314,107,Procedure,description,1
315,107,Procedure,common_complications,1
316,108,Procedure,name,1
317,108,Procedure,description,1
318,108,Procedure,common_complications,1
319,109,Procedure,name,1
320,109,Procedure,description,1
321,109,Procedure,common_complications,1
322,110,Procedure,name,1
323,110,Procedure,description,1
324,110,Procedure,common_complications,1
325,111,Procedure,name,1
326,111,Procedure,description,1
327,111,Procedure,common_complications,1
328,112,Procedure,name,1
329,112,Procedure,description,1
330,112,Procedure,common_complications,1
331,113,Procedure,name,1
332,113,Procedure,description,1
333,113,Procedure,common_complications,1
334,114,Procedure,name,1
335,114,Procedure,description,1
336,114,Procedure,common_complications,1
337,115,Procedure,name,1
338,115,Procedure,description,1
339,115,Procedure,common_complications,1
340,116,Procedure,name,1
341,116,Procedure,description,1
342,116,Procedure,common_complications,1
343,117,Procedure,name,1
344,117,Procedure,description,1
345,117,Procedure,common_complications,1
346,118,Procedure,name,1
347,118,Procedure,description,1
348,118,Procedure,common_complications,1
349,119,Procedure,name,1
350,119,Procedure,description,1
351,119,Procedure,common_complications,1
352,120,Procedure,name,1
353,120,Procedure,description,1
354,120,Procedure,common_complications,1
355,121,Procedure,name,1
356,121,Procedure,description,1
357,121,Procedure,common_complications,1
358,122,Procedure,name,1
359,122,Procedure,description,1
360,122,Procedure,common_complications,1
361,123,Procedure,name,1
362,123,Procedure,description,1
363,123,Procedure,common_complications,1
364,124,Procedure,name,1
365,124,Procedure,description,1
366,124,Procedure,common_complications,1
367,125,Procedure,name,1
368,125,Procedure,description,1
369,125,Procedure,common_complications,1
370,127,Procedure,name,1
371,127,Procedure,description,1
372,127,Procedure,common_complications,1
373,128,Procedure,name,1
374,128,Procedure,description,1
375,128,Procedure,common_complications,1
376,129,Procedure,name,1
377,129,Procedure,description,1
378,129,Procedure,common_complications,1
379,130,Procedure,name,1
380,130,Procedure,description,1
381,130,Procedure,common_complications,1
382,131,Procedure,name,1
383,131,Procedure,description,1
384,131,Procedure,common_complications,1
385,132,Procedure,name,1
386,132,Procedure,description,1
387,132,Procedure,common_complications,1
388,133,Procedure,name,1
389,133,Procedure,description,1
390,133,Procedure,common_complications,1
391,134,Procedure,name,1
392,134,Procedure,description,1
393,134,Procedure,common_complications,1
394,135,Procedure,name,1
395,135,Procedure,description,1
396,135,Procedure,common_complications,1
397,136,Procedure,name,1
398,136,Procedure,description,1
399,136,Procedure,common_complications,1
400,137,Procedure,name,1
401,137,Procedure,description,1
402,137,Procedure,common_complications,1
403,138,Procedure,name,1
404,138,Procedure,description,1
405,138,Procedure,common_complications,1
406,139,Procedure,name,1
407,139,Procedure,description,1
408,139,Procedure,common_complications,1
409,140,Procedure,name,1
410,140,Procedure,description,1
411,140,Procedure,common_complications,1
412,141,Procedure,name,1
413,141,Procedure,description,1
414,141,Procedure,common_complications,1
415,142,Procedure,name,1
416,142,Procedure,description,1
417,142,Procedure,common_complications,1
418,143,Procedure,name,1
419,143,Procedure,description,1
420,143,Procedure,common_complications,1
421,144,Procedure,name,1
422,144,Procedure,description,1
423,144,Procedure,common_complications,1
424,145,Procedure,name,1
425,145,Procedure,description,1
426,145,Procedure,common_complications,1
427,146,Procedure,name,1
428,146,Procedure,description,1
429,146,Procedure,common_complications,1
430,147,Procedure,name,1
431,147,Procedure,description,1
432,147,Procedure,common_complications,1
433,148,Procedure,name,1
434,148,Procedure,description,1
435,148,Procedure,common_complications,1
436,149,Procedure,name,1
437,149,Procedure,description,1
438,149,Procedure,common_complications,1
439,150,Procedure,name,1
440,150,Procedure,description,1
441,150,Procedure,common_complications,1
442,151,Procedure,name,1
443,151,Procedure,description,1
444,151,Procedure,common_complications,1
445,152,Procedure,name,1
446,152,Procedure,description,1
447,152,Procedure,common_complications,1
448,153,Procedure,name,1
449,153,Procedure,description,1
450,153,Procedure,common_complications,1
451,154,Procedure,name,1
452,154,Procedure,description,1
453,154,Procedure,common_complications,1
454,155,Procedure,name,1
455,155,Procedure,description,1
456,155,Procedure,common_complications,1
457,156,Procedure,name,1
458,156,Procedure,description,1
459,156,Procedure,common_complications,1
460,157,Procedure,name,1
461,157,Procedure,description,1
462,157,Procedure,common_complications,1
463,159,Procedure,name,1
464,159,Procedure,description,1
465,159,Procedure,common_complications,1
466,160,Procedure,name,1
467,160,Procedure,description,1
468,160,Procedure,common_complications,1
469,161,Procedure,name,1
470,161,Procedure,description,1
471,161,Procedure,common_complications,1
472,162,Procedure,name,1
473,162,Procedure,description,1
474,162,Procedure,common_complications,1
475,163,Procedure,name,1
476,163,Procedure,description,1
477,163,Procedure,common_complications,1
478,164,Procedure,name,1
479,164,Procedure,description,1
480,164,Procedure,common_complications,1
481,165,Procedure,name,1
482,165,Procedure,description,1
483,165,Procedure,common_complications,1
484,166,Procedure,name,1
485,166,Procedure,description,1
486,166,Procedure,common_complications,1
487,167,Procedure,name,1
488,167,Procedure,description,1
489,167,Procedure,common_complications,1
490,168,Procedure,name,1
491,168,Procedure,description,1
492,168,Procedure,common_complications,1
493,169,Procedure,name,1
494,169,Procedure,description,1
495,169,Procedure,common_complications,1
496,170,Procedure,name,1
497,170,Procedure,description,1
498,170,Procedure,common_complications,1
499,171,Procedure,name,1
500,171,Procedure,description,1
501,171,Procedure,common_complications,1
502,172,Procedure,name,1
503,172,Procedure,description,1
504,172,Procedure,common_complications,1
505,173,Procedure,name,1
506,173,Procedure,description,1
507,173,Procedure,common_complications,1
508,174,Procedure,name,1
509,174,Procedure,description,1
510,174,Procedure,common_complications,1
511,176,Procedure,name,1
512,176,Procedure,description,1
513,176,Procedure,common_complications,1
514,177,Procedure,name,1
515,177,Procedure,description,1
516,177,Procedure,common_complications,1
517,178,Procedure,name,1
518,178,Procedure,description,1
519,178,Procedure,common_complications,1
520,179,Procedure,name,1
521,179,Procedure,description,1
522,179,Procedure,common_complications,1
523,180,Procedure,name,1
524,180,Procedure,description,1
525,180,Procedure,common_complications,1
526,181,Procedure,name,1
527,181,Procedure,description,1
528,181,Procedure,common_complications,1
529,182,Procedure,name,1
530,182,Procedure,description,1
531,182,Procedure,common_complications,1
532,183,Procedure,name,1
533,183,Procedure,description,1
534,183,Procedure,common_complications,1
535,184,Procedure,name,1
536,184,Procedure,description,1
537,184,Procedure,common_complications,1
538,185,Procedure,name,1
539,185,Procedure,description,1
540,185,Procedure,common_complications,1
541,186,Procedure,name,1
542,186,Procedure,description,1
543,186,Procedure,common_complications,1
544,187,Procedure,name,1
545,187,Procedure,description,1
546,187,Procedure,common_complications,1
547,188,Procedure,name,1
548,188,Procedure,description,1
549,188,Procedure,common_complications,1
550,189,Procedure,name,1
551,189,Procedure,description,1
552,189,Procedure,common_complications,1
553,190,Procedure,name,1
554,190,Procedure,description,1
555,190,Procedure,common_complications,1
556,191,Procedure,name,1
557,191,Procedure,description,1
558,191,Procedure,common_complications,1
559,192,Procedure,name,1
560,192,Procedure,description,1
561,192,Procedure,common_complications,1
562,193,Procedure,name,1
563,193,Procedure,description,1
564,193,Procedure,common_complications,1
565,194,Procedure,name,1
566,194,Procedure,description,1
567,194,Procedure,common_complications,1
568,195,Procedure,name,1
569,195,Procedure,description,1
570,195,Procedure,common_complications,1
571,196,Procedure,name,1
572,196,Procedure,description,1
573,196,Procedure,common_complications,1
574,197,Procedure,name,1
575,197,Procedure,description,1
576,197,Procedure,common_complications,1
577,198,Procedure,name,1
578,198,Procedure,description,1
579,198,Procedure,common_complications,1
580,199,Procedure,name,1
581,199,Procedure,description,1
582,199,Procedure,common_complications,1
583,200,Procedure,name,1
584,200,Procedure,description,1
585,200,Procedure,common_complications,1
586,201,Procedure,name,1
587,201,Procedure,description,1
588,201,Procedure,common_complications,1
589,202,Procedure,name,1
590,202,Procedure,description,1
591,202,Procedure,common_complications,1
592,203,Procedure,name,1
593,203,Procedure,description,1
594,203,Procedure,common_complications,1
595,204,Procedure,name,1
596,204,Procedure,description,1
597,204,Procedure,common_complications,1
598,205,Procedure,name,1
599,205,Procedure,description,1
600,205,Procedure,common_complications,1
601,206,Procedure,name,1
602,206,Procedure,description,1
603,206,Procedure,common_complications,1
604,207,Procedure,name,1
605,207,Procedure,description,1
606,207,Procedure,common_complications,1
607,208,Procedure,name,1
608,208,Procedure,description,1
609,208,Procedure,common_complications,1
610,209,Procedure,name,1
611,209,Procedure,description,1
612,209,Procedure,common_complications,1
613,210,Procedure,name,1
614,210,Procedure,description,1
615,210,Procedure,common_complications,1
616,211,Procedure,name,1
617,211,Procedure,description,1
618,211,Procedure,common_complications,1
619,212,Procedure,name,1
620,212,Procedure,description,1
621,212,Procedure,common_complications,1
622,213,Procedure,name,1
623,213,Procedure,description,1
624,213,Procedure,common_complications,1
625,214,Procedure,name,1
626,214,Procedure,description,1
627,214,Procedure,common_complications,1
628,215,Procedure,name,1
629,215,Procedure,description,1
630,215,Procedure,common_complications,1
631,216,Procedure,name,1
632,216,Procedure,description,1
633,216,Procedure,common_complications,1
634,217,Procedure,name,1
635,217,Procedure,description,1
636,217,Procedure,common_complications,1
637,218,Procedure,name,1
638,218,Procedure,description,1
639,218,Procedure,common_complications,1
640,219,Procedure,name,1
641,219,Procedure,description,1
642,219,Procedure,common_complications,1
643,220,Procedure,name,1
644,220,Procedure,description,1
645,220,Procedure,common_complications,1
646,221,Procedure,name,1
647,221,Procedure,description,1
648,221,Procedure,common_complications,1
649,222,Procedure,name,1
650,222,Procedure,description,1
651,222,Procedure,common_complications,1
652,223,Procedure,name,1
653,223,Procedure,description,1
654,223,Procedure,common_complications,1
655,224,Procedure,name,1
656,224,Procedure,description,1
657,224,Procedure,common_complications,1
658,225,Procedure,name,1
659,225,Procedure,description,1
660,225,Procedure,common_complications,1
661,226,Procedure,name,1
662,226,Procedure,description,1
663,226,Procedure,common_complications,1
664,227,Procedure,name,1
665,227,Procedure,description,1
666,227,Procedure,common_complications,1
667,228,Procedure,name,1
668,228,Procedure,description,1
669,228,Procedure,common_complications,1
670,229,Procedure,name,1
671,229,Procedure,description,1
672,229,Procedure,common_complications,1
673,230,Procedure,name,1
674,230,Procedure,description,1
675,230,Procedure,common_complications,1
676,231,Procedure,name,1
677,231,Procedure,description,1
678,231,Procedure,common_complications,1
679,232,Procedure,name,1
680,232,Procedure,description,1
681,232,Procedure,common_complications,1
682,233,Procedure,name,1
683,233,Procedure,description,1
684,233,Procedure,common_complications,1
685,234,Procedure,name,1
686,234,Procedure,description,1
687,234,Procedure,common_complications,1
688,235,Procedure,name,1
689,235,Procedure,description,1
690,235,Procedure,common_complications,1
691,236,Procedure,name,1
692,236,Procedure,description,1
693,236,Procedure,common_complications,1
694,237,Procedure,name,1
695,237,Procedure,description,1
696,237,Procedure,common_complications,1
697,238,Procedure,name,1
698,238,Procedure,description,1
699,238,Procedure,common_complications,1
700,239,Procedure,name,1
701,239,Procedure,description,1
702,239,Procedure,common_complications,1
703,240,Procedure,name,1
704,240,Procedure,description,1
705,240,Procedure,common_complications,1
706,241,Procedure,name,1
707,241,Procedure,description,1
708,241,Procedure,common_complications,1
709,242,Procedure,name,1
710,242,Procedure,description,1
711,242,Procedure,common_complications,1
712,243,Procedure,name,1
713,243,Procedure,description,1
714,243,Procedure,common_complications,1
715,244,Procedure,name,1
716,244,Procedure,description,1
717,244,Procedure,common_complications,1
718,245,Procedure,name,1
719,245,Procedure,description,1
720,245,Procedure,common_complications,1
721,246,Procedure,name,1
722,246,Procedure,description,1
723,246,Procedure,common_complications,1
724,247,Procedure,name,1
725,247,Procedure,description,1
726,247,Procedure,common_complications,1
727,248,Procedure,name,1
728,248,Procedure,description,1
729,248,Procedure,common_complications,1
730,249,Procedure,name,1
731,249,Procedure,description,1
732,249,Procedure,common_complications,1
733,250,Procedure,name,1
734,250,Procedure,description,1
735,250,Procedure,common_complications,1
736,251,Procedure,name,1
737,251,Procedure,description,1
738,251,Procedure,common_complications,1
739,252,Procedure,name,1
740,252,Procedure,description,1
741,252,Procedure,common_complications,1
742,253,Procedure,name,1
743,253,Procedure,description,1
744,253,Procedure,common_complications,1
745,254,Procedure,name,1
746,254,Procedure,description,1
747,254,Procedure,common_complications,1
748,255,Procedure,name,1
749,255,Procedure,description,1
750,255,Procedure,common_complications,1
751,256,Procedure,name,1
752,256,Procedure,description,1
753,256,Procedure,common_complications,1
754,258,Procedure,name,1
755,258,Procedure,description,1
756,258,Procedure,common_complications,1
757,259,Procedure,name,1
758,259,Procedure,description,1
759,259,Procedure,common_complications,1
760,260,Procedure,name,1
761,260,Procedure,description,1
762,260,Procedure,common_complications,1
763,261,Procedure,name,1
764,261,Procedure,description,1
765,261,Procedure,common_complications,1
766,262,Procedure,name,1
767,262,Procedure,description,1
768,262,Procedure,common_complications,1
772,264,Procedure,name,1
773,264,Procedure,description,1
774,264,Procedure,common_complications,1
775,265,Procedure,name,1
776,265,Procedure,description,1
777,265,Procedure,common_complications,1
778,266,Procedure,name,1
779,266,Procedure,description,1
780,266,Procedure,common_complications,1
781,267,Procedure,name,1
782,267,Procedure,description,1
783,267,Procedure,common_complications,1
784,268,Procedure,name,1
785,268,Procedure,description,1
786,268,Procedure,common_complications,1
787,269,Procedure,name,1
788,269,Procedure,description,1
789,269,Procedure,common_complications,1
790,270,Procedure,name,1
791,270,Procedure,description,1
792,270,Procedure,common_complications,1
793,271,Procedure,name,1
794,271,Procedure,description,1
795,271,Procedure,common_complications,1
796,272,Procedure,name,1
797,272,Procedure,description,1
798,272,Procedure,common_complications,1
799,273,Procedure,name,1
800,273,Procedure,description,1
801,273,Procedure,common_complications,1
802,275,Procedure,name,1
803,275,Procedure,description,1
804,275,Procedure,common_complications,1
805,276,Procedure,name,1
806,276,Procedure,description,1
807,276,Procedure,common_complications,1
808,277,Procedure,name,1
809,277,Procedure,description,1
810,277,Procedure,common_complications,1
811,278,Procedure,name,1
812,278,Procedure,description,1
813,278,Procedure,common_complications,1
814,279,Procedure,name,1
815,279,Procedure,description,1
816,279,Procedure,common_complications,1
817,280,Procedure,name,1
818,280,Procedure,description,1
819,280,Procedure,common_complications,1
820,281,Procedure,name,1
821,281,Procedure,description,1
822,281,Procedure,common_complications,1
823,282,Procedure,name,1
824,282,Procedure,description,1
825,282,Procedure,common_complications,1
826,283,Procedure,name,1
827,283,Procedure,description,1
828,283,Procedure,common_complications,1
829,284,Procedure,name,1
830,284,Procedure,description,1
831,284,Procedure,common_complications,1
832,285,Procedure,name,1
833,285,Procedure,description,1
834,285,Procedure,common_complications,1
835,286,Procedure,name,1
836,286,Procedure,description,1
837,286,Procedure,common_complications,1
838,287,Procedure,name,1
839,287,Procedure,description,1
840,287,Procedure,common_complications,1
841,288,Procedure,name,1
842,288,Procedure,description,1
843,288,Procedure,common_complications,1
844,289,Procedure,name,1
845,289,Procedure,description,1
846,289,Procedure,common_complications,1
847,290,Procedure,name,1
848,290,Procedure,description,1
849,290,Procedure,common_complications,1
850,291,Procedure,name,1
851,291,Procedure,description,1
852,291,Procedure,common_complications,1
853,292,Procedure,name,1
854,292,Procedure,description,1
855,292,Procedure,common_complications,1
856,293,Procedure,name,1
857,293,Procedure,description,1
858,293,Procedure,common_complications,1
859,294,Procedure,name,1
860,294,Procedure,description,1
861,294,Procedure,common_complications,1
862,295,Procedure,name,1
863,295,Procedure,description,1
864,295,Procedure,common_complications,1
865,297,Procedure,name,1
866,297,Procedure,description,1
867,297,Procedure,common_complications,1
868,298,Procedure,name,1
869,298,Procedure,description,1
870,298,Procedure,common_complications,1
871,299,Procedure,name,1
872,299,Procedure,description,1
873,299,Procedure,common_complications,1
874,300,Procedure,name,1
875,300,Procedure,description,1
876,300,Procedure,common_complications,1
877,301,Procedure,name,1
878,301,Procedure,description,1
879,301,Procedure,common_complications,1
880,302,Procedure,name,1
881,302,Procedure,description,1
882,302,Procedure,common_complications,1
883,303,Procedure,name,1
884,303,Procedure,description,1
885,303,Procedure,common_complications,1
886,304,Procedure,name,1
887,304,Procedure,description,1
888,304,Procedure,common_complications,1
889,305,Procedure,name,1
890,305,Procedure,description,1
891,305,Procedure,common_complications,1
892,306,Procedure,name,1
893,306,Procedure,description,1
894,306,Procedure,common_complications,1
895,307,Procedure,name,1
896,307,Procedure,description,1
897,307,Procedure,common_complications,1
898,308,Procedure,name,1
899,308,Procedure,description,1
900,308,Procedure,common_complications,1
901,309,Procedure,name,1
902,309,Procedure,description,1
903,309,Procedure,common_complications,1
904,310,Procedure,name,1
905,310,Procedure,description,1
906,310,Procedure,common_complications,1
907,311,Procedure,name,1
908,311,Procedure,description,1
909,311,Procedure,common_complications,1
910,312,Procedure,name,1
911,312,Procedure,description,1
912,312,Procedure,common_complications,1
913,313,Procedure,name,1
914,313,Procedure,description,1
915,313,Procedure,common_complications,1
916,314,Procedure,name,1
917,314,Procedure,description,1
918,314,Procedure,common_complications,1
919,315,Procedure,name,1
920,315,Procedure,description,1
921,315,Procedure,common_complications,1
922,316,Procedure,name,1
923,316,Procedure,description,1
924,316,Procedure,common_complications,1
925,317,Procedure,name,1
926,317,Procedure,description,1
927,317,Procedure,common_complications,1
928,318,Procedure,name,1
929,318,Procedure,description,1
930,318,Procedure,common_complications,1
931,319,Procedure,name,1
932,319,Procedure,description,1
933,319,Procedure,common_complications,1
934,320,Procedure,name,1
935,320,Procedure,description,1
936,320,Procedure,common_complications,1
937,321,Procedure,name,1
938,321,Procedure,description,1
939,321,Procedure,common_complications,1
940,322,Procedure,name,1
941,322,Procedure,description,1
942,322,Procedure,common_complications,1
943,323,Procedure,name,1
944,323,Procedure,description,1
945,323,Procedure,common_complications,1
946,324,Procedure,name,1
947,324,Procedure,description,1
948,324,Procedure,common_complications,1
949,325,Procedure,name,1
950,325,Procedure,description,1
951,325,Procedure,common_complications,1
952,326,Procedure,name,1
953,326,Procedure,description,1
954,326,Procedure,common_complications,1
955,327,Procedure,name,1
956,327,Procedure,description,1
957,327,Procedure,common_complications,1
958,328,Procedure,name,1
959,328,Procedure,description,1
960,328,Procedure,common_complications,1
961,329,Procedure,name,1
962,329,Procedure,description,1
963,329,Procedure,common_complications,1
964,330,Procedure,name,1
965,330,Procedure,description,1
966,330,Procedure,common_complications,1
967,331,Procedure,name,1
968,331,Procedure,description,1
969,331,Procedure,common_complications,1
970,332,Procedure,name,1
971,332,Procedure,description,1
972,332,Procedure,common_complications,1
973,333,Procedure,name,1
974,333,Procedure,description,1
975,333,Procedure,common_complications,1
976,334,Procedure,name,1
977,334,Procedure,description,1
978,334,Procedure,common_complications,1
979,335,Procedure,name,1
980,335,Procedure,description,1
981,335,Procedure,common_complications,1
982,336,Procedure,name,1
983,336,Procedure,description,1
984,336,Procedure,common_complications,1
985,337,Procedure,name,1
986,337,Procedure,description,1
987,337,Procedure,common_complications,1
988,338,Procedure,name,1
989,338,Procedure,description,1
990,338,Procedure,common_complications,1
991,339,Procedure,name,1
992,339,Procedure,description,1
993,339,Procedure,common_complications,1
994,340,Procedure,name,1
995,340,Procedure,description,1
996,340,Procedure,common_complications,1
997,341,Procedure,name,1
998,341,Procedure,description,1
999,341,Procedure,common_complications,1
1000,342,Procedure,name,1
1001,342,Procedure,description,1
1002,342,Procedure,common_complications,1
1003,343,Procedure,name,1
1004,343,Procedure,description,1
1005,343,Procedure,common_complications,1
