_id,insurance_carrier_id,name
155,32,Direct POS
156,32,DirectShare POS
157,32,Empire Prism
158,32,EPO
159,32,HMO
160,32,PPO
161,32,Value EPO
162,33,Aetna Choice® POS II
163,33,Aetna Choice® POS
164,33,Aetna Elect Choice®
165,33,Aetna Emeriti® Retirement Health Solutions
166,33,Aetna Health Network Only
167,33,Aetna Health Network Option
168,33,Aetna HealthFund®
169,33,Aetna HMO
170,33,Aetna Managed Choice®
171,33,Aetna Medicare OpenSM Plan (PFFS)
172,33,Aetna MedicareSM Plan (HMO)
173,33,Aetna MedicareSM Plan (PPO)
174,33,Aetna National Medical Excellence Program®
175,33,Aetna Open Access Elect Choice
176,33,Aetna Open Access Managed Choice
177,33,Aetna Open Access Select
178,33,Aetna Open Access® HMO
179,33,Aetna Open Choice® PPO
180,33,Aetna QPOS® (Quality Point-of-Service®)
181,33,Aetna Retiree Health Access®
182,33,Aetna Select SM
183,33,Aetna Traditional Choice® indemnity insurance
184,33,Aetnas Public Sector Retiree Health Program
185,34,Flex Copay Programs
186,34,Flex Deductible Programs
187,34,High Deductible Health Plans
188,34,Keystone 65
189,34,Keystone Direct POS
190,34,Keystone Health Plan East HMO
191,34,Keystone Point-of-Service (POS)
192,34,Personal Choice 65
193,34,Personal Choice® PPO
194,34,Security 65
195,34,Select Advantage
196,34,Traditional Blue Cross® and Blue Shield® Plans
197,35,ClassicBlue
198,35,EPOBlue
199,35,FreedomBlue
200,35,PPOBlue
201,36,HAP/HMO
202,36,HAP Preferred
203,36,Health Engagement
204,36,PPO
205,36,POS
206,36,EPA
207,36,EPO
208,36,HDHP
213,38,Workers Compensation
214,39,UniCare Health Savings Account Plan
215,39,UniCare HMO Illinois
216,39,UniCare HMO Performance Illinois
217,39,UniCare HMO Texas
218,39,UniCare PPO & Platinum Network
219,39,UniCare PPO with HRA - CompleteChoice HealthFund
220,40,Nationwide Health Plan
221,41,High-Deductible Health Plan
222,41,Personal Choice EPO
223,41,Personal Choice PPO
224,41,Traditional Choice HMO
225,42,Horizon Advantage Direct Access 100/70
226,42,Horizon Advantage Direct Access 100/80/60
227,42,Horizon Advantage Direct Access 100/90/70
228,42,Horizon Advantage PPO
229,42,Horizon Basic and Essential EPO & EPO Plus
230,42,Horizon Basic Plan A/50
231,42,Horizon Direct Access Plan A/50 70/50
232,42,Horizon Direct Access Plan C 100/70
233,42,Horizon Direct Access Plan C 80/70
234,42,Horizon HMO
235,42,Horizon MyWay HSA
236,43,HealthyAdvantage HMO
237,44,ASO
238,44,HMO
239,44,HMO Out of Area (Student Benefits)
240,44,OOA/PPO
241,44,POS
242,44,PPO
243,45,EPO (Exclusive Provider Organization)
244,45,HMO Open Access
245,45,Network Open Access
246,45,Open Access Plus
247,45,POS
248,45,PPO
249,46,Comprehensive Blue PPO
250,46,HSA Blue PPO II
251,46,Access Blue PPO
252,46,Comprehensive Blue PPO II
253,46,Short-Term Blue
254,47,AIG Health Insurance
255,48,AFLAC Health Insurance
256,49,Definity Health Reimbursement Account
257,49,Definity Health Savings Account
258,49,FlexPoint
259,49,Optimum Choice Inc
260,49,Signature Advantage
261,49,Signature Value
262,49,Signature Value Healthcare Partners Network
263,49,Simply Engaged
264,49,Suite Spot
265,49,Tiered Benefits
266,49,UnitedHealthcare Basics
267,49,UnitedHealthcare Choice
268,49,UnitedHealthcare Choice Plus
269,49,UnitedHealthcare Core
270,49,UnitedHealthcare Edge
271,49,UnitedHealthcare MultiChoice
272,49,UnitedHealthcare Options Non-Differential PPO
273,49,United Healthcare Options PPO
274,49,UnitedHealthcare Pledge Plan
275,49,UnitedHealthcare Select
276,49,UnitedHealthcare Select Plus
277,49,ValueMax
278,50,Providence ASO
279,50,Providence Dual Option
280,50,Providence HSA Qualified Dual Option Plan
281,50,Providence HSA Qualified Plan
282,50,Providence Medicare Choice
283,50,Providence Medicare Extra
284,50,Providence Open Option
285,50,Providence Optimum Plans
286,50,Providence Personal Option
287,50,Providence Traditional Option
288,50,Providence Value Plan
289,51,HMO
290,51,PPO
291,51,POS
292,52,MAPFRE Excel
293,52,MAPFRE Choice I
294,52,MAPFRE Choice II
295,52,MAPFRE Choice III
296,52,MAPFRE Choice Unlimited
297,52,MAPFRE Major Medical
298,52,MAPFRE PPO in USVI
303,53,Affinity Dental Health Plan
304,53,Child Health Plus
305,55,Cash
306,55,American Express
307,55,MasterCard
308,55,VISA Card
309,55,Debit Card
310,54,PPO 
311,54,HMO
313,33,Other
314,12,Other
315,48,Other
316,33,Aetna Retiree Health Access
317,33,Aetna HealthFund® HMO
318,33,Aetna HMO Deductible
319,56,Other
320,58,POS
321,58,EPO Plus
322,58,EPO
323,58,PPO
324,49,Other
325,49,United HealthCare AARP Medicare Complete HMO 
326,59,Medicare Advantage HMO 
327,31,Health Net Medicare Advantage HMO
328,45,Cigna Great - West Point of Services (POS) 
329,45,Cigna Great - West HMO
330,60,Blue Shield Access + HMO Plan 
331,60,Blue Shield Net Value HMO CalPERS Limited Network 
332,60,CCPOA Medical Plan 
333,60,CalPERS - Blue Shield 65 Plus HMO Group
334,60,CalPERS Access + HMO 
335,60,CalPERS NetValue HMO 
336,60,California Choice Access + HMO 
337,60,HMO
338,60,Local Access + HMO  
339,60,Other
340,61,Blue Cross Large Group HMO 
341,61,Other
342,45,Other
343,31,Other
344,43,Other
345,47,Other
346,37,Other
347,11,Other
348,17,Other
349,6,Other
350,22,Other
351,46,Other
352,51,Other
353,28,Other
354,44,Other
355,16,Other
356,32,Other
357,27,Other
358,36,Other
359,26,Other
360,10,Other
361,35,Other
362,25,Other
363,42,Other
364,9,Other
365,34,Other
367,8,Other
368,52,Other
369,15,Other
370,14,Other
371,41,Other
372,40,Other
373,13,Other
374,7,Other
375,23,Other
376,4,Other
377,50,Other
378,54,Other
379,3,Other
380,30,Other
381,2,Other
382,59,Other
383,20,Other
384,19,Other
385,1,Other
386,29,Other
387,58,Other
388,39,Other
389,18,Other
390,38,Other
391,63,Aetna Advantage Dental
392,63,Aetna Advantage Plus Dental
393,63,Aetna Dental Access / Vital Savings by Aetna
394,63,Aetna HealthFund / Aetna DentalFund
395,63,Affordable Health Choices from Aetna
396,63,Basic Dental
397,63,Dental Discount
398,63,Dental EPP
399,63,Dental Maintenance Organization (DMO)
400,63,Family Preventative
401,63,Other
402,53,Family Health Plus
403,53,Medicaid
404,53,Other
405,65,Interplan Health Group
406,9,HumanaChoice (PPO)
407,73,Flexible Blue IISM (2500)
408,91,Maximizer (PPO)
409,91,Health Savings Account (HSA) Value
410,91,Beneficial Rx (PPO)
411,91,Beneficial Value (PPO)
412,91,Health Savings Account (HSA) 3000
413,82,Other
414,90,Other
415,79,Other
416,85,Other
417,93,Other
418,87,Other
419,70,Other
420,89,Other
421,84,Other
422,71,Other
423,74,Other
424,64,Other
425,92,Other
426,83,Other
427,62,Other
428,81,Other
429,80,Other
430,78,Other
431,75,Other
432,76,Other
433,67,TRICARE Prime
434,68,TRICARE For Life
436,86,Other
437,66,Other
438,88,Other
439,72,Other
440,77,Other
441,94,MedicareMax - Miami-Dade County
442,94,MedicareMaxValue - Miami-Dade County
443,94,MedicareMax Plus - Miami-Dade County
444,94,MedicareMax - Broward County
445,94,MedicareMaxValue - Broward County
446,94,MedicareMax Plus - Broward County
447,95,STANDARD
448,95,EXTENDED
449,95,HSA
450,96,Other
451,97,Other
452,98,Medicaid
453,98,CHIP
454,98,Medicare Advantage
455,45,Indemnity
456,98,Other
457,44,Maryland Physicians Care
459,99,Other
460,100,PAC
461,100,HealthChoice
462,101,Primary Adult Care (PAC)
463,101,HealthChoice
464,102,Other
465,70,CHP State Selection - HMO
466,103,Sagamore Plus
467,103,Sagamore Select
468,104,Blue Edge - PPO
469,104,Other
470,13,Oxford Medicare Advantage
471,106,Other
472,106,FCHP Direct Care
473,106,FCHP Select Care
474,103,Other
475,106,FCHP Flex Care
476,106,Fallon Senior Plans
477,106,Fallon Preferred Care PPO
478,106,Major Medical
479,106,FCHP Independent Care
480,106,FCHP Independent Care 1000
481,106,FCHP MassHealth and Elder Service Plan
482,107,Other
483,108,AFLAC Dental
484,108,Other
485,109,Basic (PPO)
486,109,Comprehensive (PPO)
487,109,PPO Components
488,110,Basic OA III
489,110,Comprehensive OA III
490,110,OA III Components
491,111,Presbyterian Select
492,111,Presbyterian Classic
493,111,Presbyterian Classic for Kids
494,111,Presbyterian Savvy100
495,111,Presbyterian Short Term
496,111,Presbyterian Senior Care (HMO)
497,111,Presbyterian MediCare PPO
498,111,Presbyterian Value Care (HMO)
499,111,Presbyterian Custom Care (HMO)
500,111,Presbyterian Smart Care (HMO)
501,111,Presbyterian My Care (HMO)
502,111,Presbyterian Flex Care (POS)
503,111,Presbyterian Choice Care (POS)
504,111,Presbyterian Preferred Care (PPO)
505,111,Presbyterian PresElect (PPO)
506,111,Presbyterian Advantage Care (HDHP)
507,111,Presbyterian Salud
508,112,Abrazo Advantage (HMO)
509,112,Abrazo Advantage Plus (HMO SNP)
510,12,Child Health Plus (CHPlus)
511,12,Family Health Plus (FHP)
512,12,Medicare Plan
513,12,Medicaid Plan
514,48,Cancer/Specified-Disease Insurance
515,48,Critical Care & Recovery Insurance
516,48,Hospital Confinement Indemnity Insurance
517,48,Hospital Confinement & Sickness Indemnity Insurance
518,48,Hospital Intensive Care Insurance
519,48,Lump Sum Cancer Insurance
520,48,Lump Sum Critical Illness
521,113,Healthy Families Program
522,113,Alliance Group Care
523,113,Alliance CompleteCare
524,113,Medi-Cal
525,113,Other
526,112,Other
527,114,Other
528,114,High Deductible Health Plans (HDHP)
529,114,Percentage Plans (PPO-Style Plan)
530,114,Flat Dollar Plans
531,115,Other
532,115,AlohaCare (QUEST)
533,115,AlohaCare Advantage (HMO)
534,115,Aloha Care Advantage Plus (HMO SNP)
535,82,Plantinum
536,82,Gold
537,82,Silver
538,82,NetCare Low Duductible
539,82,NetCare High Deductible
540,82,QHDHP 80%
541,82,QHDHP 100%
542,82,Peak Pref 500
543,82,Peak Pref 1000
544,82,Peak Pref 2500
545,82,Peak Pref 5000
546,82,Peak Plus Platinum 80%
547,82,Peak Plus Platinum 70%
548,82,Peak Plus Gold 80%
549,82,Peak Plus Gold 70%
550,82,Peak Plus Silver 80%
551,82,Pleak Plus Silver 70%
552,82,Peak Plus 70% QHDHP
553,82,Peak Plus 80% QHDHP
554,82,QHDHP Plus 100%
555,116,Other
556,116,Americare Preferred Critical Illness PLUS
557,116,Americare Preferred Supplemental Medical Insurance
558,116,CareAssist Short-Term Convalescent Care
559,116,Medicare Supplemental Insurance
560,116,Americare Preferred Short-Term Medical Plan
561,117,WPS Individual Preferred Plan-PPO
562,118,Other
563,118,Prevention and Wellness Services
564,118,Fitness and Wellness Services
565,118,Specialty Network Management Programs
566,117,WPS Individual HSA-Qualified
567,117,WPS Instant Protection Plan
568,119,Other
569,119,Presidential (PFFS)
570,119,Presidential Plus (PFFS)
571,120,Other
572,120,Patriot (PFFS)
573,120,Patriot Plus (PFFS)
574,120,Ambassador (PPO)
575,120,Ambassador Plus (PPO)
576,121,Other
577,121,Patriot (PFFS)
578,121,Patriot Plus (PFFS)
579,121,Ambassador Plus (PPO)
580,121,Ambassador (PPO)
581,37,UnitedHealthcare Dual Complete (HMO-POS SNP)
582,37,UnitedHealthcare hawk-i
583,123,Other
584,123,UnitedHealthcare At Home
585,123,UnitedHealthcare Community Plan M*Plus
586,123,UnitedHealthcare Health and Home Connection 
587,123,UnitedHealthcare Dual Complete (HMO SNP)
588,123,UnitedHealthcare Dual Complete RP (Regional PPO SNP) 
589,123,Citrus Plus 
590,123,UnitedHealthcare Dual Complete EV (HMO SNP) 
591,123,UnitedHealthcare Dual Complete LP (HMO SNP)
592,123,Florida Healthy Kids
593,127,Other
594,127,UnitedHealthcare Dual Complete (LPPO SNP)
595,129,Other
596,129,NJ FamilyCare
597,129,UnitedHealthcare Dual Complete (LPPO SNP)
598,131,Other
599,131,UnitedHealthcare Community Plan for Adults
601,131,UnitedHealthcare Dual Advantage 
602,131,UnitedHealthcare Dual Complete RP (Regional PPO SNP)
603,131,UnitedHealthcare Dual Complete LP (HMO SNP) 
605,131,UnitedHealthcare Dual Complete (HMO SNP) 
606,131,UnitedHealthcare Community Plan for Kids
607,131,UnitedHealthcare Community Plan for Families
608,137,Other
609,137,UnitedHealthcare Community Plan for Families
610,137,UnitedHealthcare Dual Complete (HMO SNP)
611,137,UnitedHealthcare® MedicareComplete® (HMO)
612,137,UnitedHealthcare Community Plan for Kids
613,137,UnitedHealthcare aB
614,141,Other
615,141,UnitedHealthcare Community Plan for Families
616,141,UnitedHealthcare Dual Complete (HMO SNP)
617,11,AmeriHealth® PPO 
618,11,AmeriHealth® HMO 
619,11,AmeriHealth® New Jersey Protect 
620,11,AmeriHealth 65® HMO 
621,11,AmeriHealth® Mercy 
622,11,AmeriHealth® Mercy 
623,11,AmeriHealth Rx - Medicare Part D
624,11,AmeriHealth Advantage
625,11,AmeriHealth® Point-of-Service (POS) 
626,11,Flex Copay Programs 
627,11,AmeriHealth® PPO High Deductible Health Plans 
628,11,AmeriHealth+ HSA Solution 
631,11,AmeriHealth® HMO Plus 
632,11,AmeriHealth® Value Network 
633,11,AmeriHealth® New Jersey EPO 
634,11,AmeriHealth® Direct POS 
635,11,Flex Deductible Programs 
637,11,AmeriHealth Administrators®
638,11,AmeriHealth+ FSA 
639,11,AmeriHealth+ HRA 
640,11,AmeriHealth® POS Coinsurance 
641,11,AmeriHealth® HMO Plus Coinsurance 
642,11,AmeriHealth® Value Network 
643,147,Other
644,147,Medicaid
645,61,Premier Plus
646,61,SmartSense® Plus
647,61,CoreGuardSM Plus
648,61,ClearProtectionSM Plus
649,61,Lumenos® HSA Plus
650,61,Lumenos® HSA 1500/5000
651,61,Tonik®
652,61,PPO Share
653,61,Select HMO
654,61,HMO Saver
655,61,Individual HMO
656,61,Dental Blue® PPO Plans
657,61,Dental SelectHMO Plan
658,61,International Emergency Dental Program 
659,61,Medicare Advantage
660,151,Other
661,151,Premier
662,151,Lumenos® HSA Plus
663,151,SmartSenseSM Plus
664,151,CoreShareSM Plus
665,151,ClearProtectionSM
666,151,Tonik®
667,151,Child-Only Health Coverage
668,151,HSA
670,154,Other
671,154,Dental PPO
672,155,Other
673,155,Concordia Flex Dental Program 
674,155,Concordia Preferred Dental Program 
675,155,Concordia Plus Dental Program 
676,158,Other
677,158,Premier 
678,158,Smart Sense® 
679,158,Lumenos® HSA Plus 
680,160,Other
681,160,Medicare Advantage
682,160,Medicare Supplement
683,161,Other
684,161,Premier Plus
685,161,Lumenos HSA Plus
686,161,SmartSense Plus
687,161,CoreShare
688,161,HSA
689,164,Other
690,164,Premier Plus
691,164,Lumenos HSA Plus
692,164,SmartSense Plus
693,164,Child-Only Health Coverage
694,164,HSA
695,166,Other
696,166,HealthChoice
697,166,HealthChoice Standard
698,166,HealthChoice Basic
699,166,HMO Standard
700,166,HMO Basic
701,166,HSA
702,170,Other
703,170,Premier Plus
704,170,Lumenos HSA Plus
705,170,SmartSense Plus
706,170,CoreShare
707,171,Other
708,171,Premier Plus
709,171,CoreShare
710,171,Lumenos HSA Plus
711,171,ClearProtectionSM Plus
712,171,Tonik®
713,171,SmartSense Plus
714,175,Other
715,175,Premier
716,175,SmartSense
717,175,Lumenos HSA Plus
718,176,Other
719,176,Premier Plus
720,176,Lumenos HSA Plus
721,176,SmartSense Plus
722,176,CoreShare
723,178,Other
724,178,Premier
725,178,SmartSense Plus
726,178,CoreShareSM 
727,178,Lumenos HSA Plus
728,179,Other
729,179,Premier Plus
730,179,Lumenos HSA Plus
731,179,SmartSense Plus
732,179,CoreShare
733,182,Other
734,182,Plus Plan* - (HMO)
735,182,Dual Plus Plan* - (HMO -SNP)
736,186,Other
737,186,Plus Plan* - (HMO)
738,186,Dual Plus Plan* - (HMO-SNP)
739,188,Other
740,188,Plus Plan* - (HMO)
741,188,Dual Plus Plan* - (HMO -SNP)
742,191,Other
743,191,Plus Plan* - (HMO)
744,191,Dual Plus Plan* - (HMO -SNP)
745,192,Other
746,192,Plus Plan* - (HMO)
747,192,Dual Plus Plan* - (HMO -SNP)
748,195,Other
749,195,Plus Plan* - (HMO)
750,195,Dual Plus Plan* - (HMO -SNP)
751,197,Other
752,197,Plus Plan* - (HMO)
753,197,Dual Plus Plan* - (HMO -SNP)
754,198,Other
755,198,Plus Plan* - (HMO)
756,198,Dual Plus Plan* - (HMO -SNP)
757,199,Other
758,199,Plus Plan* - (HMO)
759,199,Dual Plus Plan* - (HMO -SNP)
760,201,Other
761,201,Plus Plan* - (HMO)
762,201,Dual Plus Plan* - (HMO -SNP)
763,202,Other
764,202,Plus Plan* - (HMO)
765,202,Dual Plus Plan* - (HMO -SNP)
766,203,Other
767,203,Plus Plan* - (HMO)
768,203,Dual Plus Plan* - (HMO -SNP)
769,204,Other
770,204,Dual Plus Plan* - (HMO -SNP)
771,204,Plus Plan* - (HMO)
772,206,Other
773,206,Plus Plan* - (HMO)
774,206,Dual Plus Plan* - (HMO -SNP)
775,207,Other
776,207,Plus Plan* - (HMO)
777,207,Dual Plus Plan* - (HMO -SNP)
778,209,Other
779,209,Healthy Advantage HMO
780,209,Healthy Advantage POS
781,209,HSA-Qualified High Deductible Health Plan POS
782,209,HSA-Qualified High Deductible Health Plan HMO
783,209,Arise Health Plan Bridge65
784,209,Arise Health Plan Bridge65 POS
785,46,Blue PPO III
786,290,Other
787,290,DentalBlue Bronze
788,290,DentalBlue Silver
789,290,DentalBlue Gold
790,212,Other
791,212,Assurant Health AccessSM
792,212,CoreMed SM
793,212,OneDeductible
794,212,OneDeductible (HSA)
795,212,Real ChoicesSM
796,212,Assurant Self-Funded Health Plan
797,6,EmbarkSM
798,6,Employee SelectSM
799,6,VantageSM
800,6,Asuris HSA Healthplan 2.0SM
801,6,Asuris AdvanceSM
802,6,AspireSM
803,6,EnhanceSM
804,6,Asuris Emerge Core
805,6,Asuris Emerge Plus
806,6,Asuris Emerge HSA Plan-80/60/60
807,6,Asuris Emerge HSA Plan 50/50/50
808,6,Asuris Emerge HSA 100 Plan
809,6,Asuris Conversion Plan
810,6,Asuris TruAdvantage Basic (PPO)
811,6,Asuris TruAdvantage + Rx Enhanced (PPO)
812,6,Asuris TruAdvantage + Rx Classic (PPO)
813,291,Other
814,291,Columbia Dental
815,291,Traditional Dental
816,292,Other
817,292,Plan 10E
818,292,PLAN 15E
819,292,PLAN 20E
820,293,Other
821,293,Medicare Health Maintenance Organization (HMO)
822,293,Preferred Provider Organization (PPO)
823,293,ATRIO Bronze (PPO)
824,293,ATRIO Bronze Rx (PPO)
825,293,ATRIO Silver (PPO)
826,293,ATRIO Silver Rx (PPO)
827,293,ATRIO Gold Rx (PPO)
828,293,ATRIO Platinum Rx (PPO)
829,294,Other
830,122,Windsor Sterling Gold Plus-PPO
831,122,Sterling Silver Connect In- Network (PFFS)
832,122,Sterling Emerald Connect In-Network (PFFS)
833,122,Sterling Gold Connect In-Network (PFFS) 
834,122,Medicare Extra Emerald Plan-HMO
835,295,Other
836,295,Avera MyPlan
837,295,High Deductible Health Plans (HSA)
839,295,MyPlan Maternity
840,295,Avera SELECT
841,124,Medicare Extra Gold Plan-HMO
842,124,Medicare Extra Diamond Plan-HMO
843,124,Medicare Extra Comp Plus-(HMO SNP)
844,124,Medicare Silver Plan-HMO
845,473,Other
846,473,MyPlan Dental
847,125,WHA Premier- 15
848,296,Other
849,125,WHA Premier- 15MHP
850,296,AvMed Choice
851,296,AvMed Open Access
852,125,WHA Premier- 20
853,296,AvMed Open Access CareSelect
854,125,WHA Premier- 20MHP
855,296,AvMed Open Access POS
856,296,AvMed HDHPs
857,125,WHA Premier- 40
858,296,AvMed Consumer
859,125,WHA Premier- 10MHP
860,296,AvMed Medicare Choice HMO
861,125,Premier Medicare Supplement 10
862,296,AvMed Individual Health
863,125,Premier Medicare Supplement 10MHP
864,125,Advantage 15-30
865,297,Other
866,297,Medicare Supplement Insurance
867,125,Advantage 15-30MHP
868,297,Medicare Advantage
869,125,Advantage 420
870,125,Advantage 70
871,125,Advantage 70-MHP
872,298,Other
873,125,Advantage 40
874,298,Beech Street PPO Network
875,125,Advantage 40MHP
876,298,Beech Street Primary Health Benefit Network
877,125,Western 4010 (RX Included)
878,125,Western 4010MHP (RX Included)
879,125,Western 2025 (RX Included)
880,125,Western 2025MHP (RX Included) 
881,125,Western 4025 (RX Included)
882,125,Western 4025MHP (RX Included)
883,125,Western 1800-HSA
884,125,Western 1800MHP- HSA
885,125,Western 2800-HSA
886,125,Western 2800MHP- HSA
887,125,Western 2800B- HSA
888,125,Western 2800BMHP- HSA
889,125,Dental- DMHO Plan 903
890,125,Dental- PPO1 Plan 1/123
891,125,Dental-PPO2 Plan 2/124
892,125,Other
893,126,Coventry One
894,126,Coventry Dental
895,126,Other
896,128,Blue Select-PPO
897,128,Blue Select Plus-PPO
898,128,Blue Select Basics-PPO
899,128,Blue Priority-HSA
900,128,Short-Term Blue
901,130,Alliance Select-PPO
902,130,Alliance Comprehensive-PPO
903,130,Alliance Enhanced-PPO
904,130,Alliance Value-PPO
905,130,Alliance Select Gold-PPO
906,130,Alliance Select Silver-PPO
907,130,Alliance Select Bronze Value-PPO
908,130,Other
909,117,Other
910,124,Other
911,122,Other
912,128,Other
913,132,WellCare Access- (HMO) 
914,132,WellCare Dividend- (HMO) 
915,132,WellCare Value- (HMO) 
916,132,Other
917,133,WellCare Access- (HMO)
918,133,WellCare Value- (HMO)
919,133,Other
920,134,WellCare Access- (HMO) 
921,134,WellCare Advance- (HMO)
922,134,WellCare Choice- (HMO-POS)
923,134,WellCare Liberty- (HMO-SNP) 
924,134,WellCare Value- (HMO-POS)
925,134,Other
926,135,WellCare Access- (HMO-SNP)
927,135,WellCare Value- (HMO)
928,135,Other
929,11,Concordia Flex Dental Program 
930,136,WellCare Value- (HMO-POS)
931,11,Concordia Plus Dental Program 
932,136,WellCare Access- (HMO-SNP)
933,11,Concordia Preferred Dental Program 
934,136,Other
935,138,WellCare Dividend- (HMO-POS)
936,138,WellCare Access- (HMO)
937,48,AFLAC Dental
938,151,Dental PPO
939,138,WellCare Value- (HMO-POS) 
940,138,Other
941,6,Columbia Dental
942,139,WellCare Value- (HMO-SNP)
943,6,Traditional Dental
944,139,WellCare Access- (HMO)
945,139,Other
946,140,WellCare Access- (HMO-SNP)
947,140,WellCare Value- (HMO-POS) 
948,295,MyPlan Dental
949,140,Other
950,142,WellCare Access- (HMO-SNP)
951,305,Other
952,142,WellCare Advance- (HMO)
953,328,Other
954,142,WellCare Choice- (HMO-POS)
955,330,Other
956,142,WellCare Choice- (HMO)
957,306,Other
958,142,WellCare Dividend- (HMO)
959,307,Other
960,142,WellCare Essential- (HMO) 
961,311,Other
962,142,WellCare Select- (HMO-POS-SNP)
963,309,Other
964,142,WellCare Value- (HMO-POS)
965,334,Other
966,142,Other
967,303,Other
968,316,Other
969,318,Other
970,143,WellCare Access- (HMO-SNP)
971,320,Other
972,143,WellCare Choice- (HMO-POS)
973,143,WellCare Value- (HMO)
974,304,Other
975,143,Other
976,340,Other
977,345,Other
978,352,Other
979,72,Medicare Silver- (HMO)
980,72,Medicare Value RX- (HMO)
981,381,Other
982,72,Medicare Platinum RX- (HMO) 
983,406,Other
985,72,Medicare Platinum Select RX- (HMO) 
986,144,VNSNY Choice Medicare Maximum- (HMO-SNP) 
987,418,Other
988,144,VNSNY Choice Medicare Preferred- (HMO-SNP)
989,425,Other
990,144,Other
991,428,Other
992,145,Medicare Plus RX
